Front,Back  
What is HTML?,"HyperText Markup Language: The standard language for creating web pages."  
Basic HTML Structure,"<!DOCTYPE html><html><head><title>Page</title></head><body></body></html>"  
DOCTYPE Declaration,"`<!DOCTYPE html>`: Defines HTML5 document type (must be the first line)."  
HTML Elements,"Syntax: `<tagname>Content</tagname>` (e.g., `<p>Hello</p>`)."  
Self-Closing Tags,"Tags without content: `<img>`, `<br>`, `<input>`, `<meta>`."  
HTML Attributes,"Provide extra info: `<a href='https://example.com'>Link</a>`."  
Head vs. Body,"`<head>`: Metadata (title, styles, scripts). `<body>`: Visible content."  
Common Meta Tags,"`<meta charset='UTF-8'>`, `<meta name='viewport' content='width=device-width'>`."  
HTML Comments,"`<!-- This is a comment -->` (not rendered in the browser)."  
Headings (h1-h6),"`<h1>` (largest) to `<h6>` (smallest). SEO-friendly hierarchy."  
Paragraphs,"`<p>`: Defines a block of text (auto-spacing)."  
Line Breaks,"`<br>`: Inserts a line break (no closing tag)."  
Horizontal Rule,"`<hr>`: Thematic break (horizontal line)."  
Text Formatting,"`<strong>`, `<em>`, `<u>`, `<mark>`, `<code>`, `<sub>`, `<sup>`."  
HTML Links,"`<a href='url' target='_blank'>Link</a>` (`target='_blank'` opens in new tab)."  
Anchor Tags,"Link to sections: `<a href='#section-id'>Jump</a>` + `<div id='section-id'>`."  
Images,"`<img src='image.jpg' alt='Description' width='200'>` (`alt` is required for accessibility)."  
Lists (Ordered/Unordered),"`<ul>` (bullets), `<ol>` (numbers), `<li>` (list items)."  
Description Lists,"`<dl>` (definition list), `<dt>` (term), `<dd>` (description)."  
Tables,"`<table>`, `<tr>` (row), `<th>` (header), `<td>` (data cell), `<caption>`."  
Table Merging,"`colspan='2'` (merge columns), `rowspan='2'` (merge rows)."  
Forms,"`<form action='/submit' method='POST'>` + inputs (`<input>`, `<textarea>`, `<select>`)."  
Input Types,"`text`, `password`, `email`, `number`, `date`, `checkbox`, `radio`, `file`, `submit`."  
Input Attributes,"`placeholder`, `required`, `disabled`, `readonly`, `min/max`, `pattern`."  
Dropdowns,"`<select><option value='1'>Option 1</option></select>`."  
Textarea,"`<textarea rows='4' cols='50'>Multi-line text</textarea>`."  
Buttons,"`<button type='button'>Click</button>` or `<input type='submit'>`."  
Fieldset & Legend,"`<fieldset>` groups inputs, `<legend>` adds a label."  
HTML5 Semantic Tags,"`<header>`, `<nav>`, `<section>`, `<article>`, `<aside>`, `<footer>`."  
Div vs. Span,"`<div>`: Block-level container. `<span>`: Inline container."  
IFrames,"`<iframe src='url' title='Embed'></iframe>` (embeds external content)."  
HTML Entities,"`&nbsp;` (space), `&lt;` (<), `&gt;` (>), `&copy;` (Â©)."  
Audio Tag,"`<audio controls><source src='audio.mp3' type='audio/mpeg'></audio>`."  
Video Tag,"`<video width='320' controls><source src='video.mp4' type='video/mp4'></video>`."  
Canvas,"`<canvas id='myCanvas'></canvas>` + JavaScript for drawings/animations."  
SVG,"`<svg width='100' height='100'><circle cx='50' cy='50' r='40' fill='red'/></svg>`."  
Data Attributes,"`<div data-user-id='123'>` (stores custom data via JavaScript)."  
Meta SEO Tags,"`<meta name='description' content='Page description'>` (for search engines)."  
Favicon,"`<link rel='icon' href='favicon.ico' type='image/x-icon'>` (tab icon)."  
HTML Validation,"Use W3C Validator (`https://validator.w3.org/`) to check errors."  
Accessibility (ARIA),"`role='navigation'`, `aria-label='Main Menu'` (for screen readers)."  
HTML5 APIs,"Geolocation, Local Storage, Drag & Drop, Web Workers, etc."  